,date,Adj Close
0,2021-01-01,29331.69
1,2021-01-02,32178.33
2,2021-01-03,33000.05
3,2021-01-04,31988.71
4,2021-01-05,33949.53
5,2021-01-06,36769.36
6,2021-01-07,39432.28
7,2021-01-08,40582.81
8,2021-01-09,40088.22
9,2021-01-10,38150.02
10,2021-01-11,35404.47
11,2021-01-12,34051.24
12,2021-01-13,37371.38
13,2021-01-14,39144.5
14,2021-01-15,36742.22
15,2021-01-16,35994.98
16,2021-01-17,35828.61
17,2021-01-18,36631.27
18,2021-01-19,35891.49
19,2021-01-20,35468.23
20,2021-01-21,30850.13
21,2021-01-22,32945.17
22,2021-01-23,32078.0
23,2021-01-24,32259.9
24,2021-01-25,32254.2
25,2021-01-26,32467.77
26,2021-01-27,30366.15
27,2021-01-28,33364.86
28,2021-01-29,34252.2
29,2021-01-30,34262.88
30,2021-01-31,33092.98
31,2021-02-01,33526.37
32,2021-02-02,35466.24
33,2021-02-03,37618.87
34,2021-02-04,36936.66
35,2021-02-05,38290.24
36,2021-02-06,39186.94
37,2021-02-07,38795.69
38,2021-02-08,46374.87
39,2021-02-09,46420.42
40,2021-02-10,44807.58
41,2021-02-11,47969.51
42,2021-02-12,47287.6
43,2021-02-13,47153.69
44,2021-02-14,48577.79
45,2021-02-15,47911.1
46,2021-02-16,49133.45
47,2021-02-17,52119.71
48,2021-02-18,51552.6
49,2021-02-19,55906.0
50,2021-02-20,55841.19
51,2021-02-21,57408.57
52,2021-02-22,54087.67
53,2021-02-23,48891.0
54,2021-02-24,49676.2
55,2021-02-25,47073.73
56,2021-02-26,46276.87
57,2021-02-27,46106.43
58,2021-02-28,45135.66
59,2021-03-01,49587.03
60,2021-03-02,48440.65
61,2021-03-03,50349.37
62,2021-03-04,48374.09
63,2021-03-05,48751.71
64,2021-03-06,48882.2
65,2021-03-07,50971.75
66,2021-03-08,52375.17
67,2021-03-09,54884.5
68,2021-03-10,55851.59
69,2021-03-11,57773.16
70,2021-03-12,57221.72
71,2021-03-13,61188.39
72,2021-03-14,58968.31
73,2021-03-15,55605.2
74,2021-03-16,56900.75
75,2021-03-17,58912.97
76,2021-03-18,57648.16
77,2021-03-19,58030.01
78,2021-03-20,58102.28
79,2021-03-21,57351.56
80,2021-03-22,54083.25
81,2021-03-23,54340.89
82,2021-03-24,52303.65
83,2021-03-25,51293.78
84,2021-03-26,55025.59
85,2021-03-27,55817.14
86,2021-03-28,55777.63
87,2021-03-29,57635.47
88,2021-03-30,58746.57
89,2021-03-31,58740.55
90,2021-04-01,58720.44
91,2021-04-02,58950.01
92,2021-04-03,57051.94
93,2021-04-04,58202.01
94,2021-04-05,59129.99
95,2021-04-06,57991.15
96,2021-04-07,55953.45
97,2021-04-08,58077.52
98,2021-04-09,58142.54
99,2021-04-10,59769.13
100,2021-04-11,60002.43
101,2021-04-12,59860.0
102,2021-04-13,63575.0
103,2021-04-14,62959.53
104,2021-04-15,63159.98
105,2021-04-16,61334.8
106,2021-04-17,60006.66
107,2021-04-18,56150.01
108,2021-04-19,55633.14
109,2021-04-20,56425.0
110,2021-04-21,53787.63
111,2021-04-22,51690.96
112,2021-04-23,51125.14
113,2021-04-24,50047.84
114,2021-04-25,49066.77
115,2021-04-26,54001.39
116,2021-04-27,55011.97
117,2021-04-28,54846.22
118,2021-04-29,53555.0
119,2021-04-30,57694.27
120,2021-05-01,57800.37
121,2021-05-02,56578.21
122,2021-05-03,57169.39
123,2021-05-04,53200.01
124,2021-05-05,57436.11
125,2021-05-06,56393.68
126,2021-05-07,57314.75
127,2021-05-08,58862.05
128,2021-05-09,58240.84
129,2021-05-10,55816.14
130,2021-05-11,56670.02
131,2021-05-12,49631.32
132,2021-05-13,49670.97
133,2021-05-14,49841.45
134,2021-05-15,46762.99
135,2021-05-16,46431.5
136,2021-05-17,43538.04
137,2021-05-18,42849.78
138,2021-05-19,36690.09
139,2021-05-20,40526.64
140,2021-05-21,37252.01
141,2021-05-22,37449.73
142,2021-05-23,34655.25
143,2021-05-24,38796.29
144,2021-05-25,38324.72
145,2021-05-26,39241.91
146,2021-05-27,38529.98
147,2021-05-28,35663.49
148,2021-05-29,34605.15
149,2021-05-30,35641.27
150,2021-05-31,37253.81
